occ,occ1990dd,year
465,177,1990
466,468,1990
467,387,1990
468,468,1990
469,469,1990
473,473,1990
474,473,1990
475,475,1990
476,475,1990
477,479,1990
479,479,1990
483,498,1990
484,479,1990
485,450,1990
486,451,1990
487,472,1990
488,488,1990
489,489,1990
494,496,1990
495,496,1990
496,496,1990
497,829,1990
498,498,1990
499,498,1990
503,503,1990
505,505,1990
506,505,1990
507,507,1990
508,508,1990
509,509,1990
514,514,1990
515,508,1990
516,516,1990
517,516,1990
518,518,1990
519,519,1990
523,523,1990
525,525,1990
526,526,1990
527,527,1990
529,527,1990
533,533,1990
534,534,1990
535,535,1990
536,536,1990
538,533,1990
539,539,1990
543,543,1990
544,544,1990
547,549,1990
549,549,1990
553,558,1990
554,558,1990
555,558,1990
556,558,1990
557,558,1990
558,558,1990
563,563,1990
564,563,1990
565,563,1990
566,563,1990
567,567,1990
569,567,1990
573,573,1990
575,575,1990
576,575,1990
577,577,1990
579,579,1990
583,583,1990
584,584,1990
585,585,1990
587,585,1990
588,588,1990
589,589,1990
593,593,1990
594,594,1990
595,595,1990
596,599,1990
597,597,1990
598,598,1990
599,599,1990
613,628,1990
614,614,1990
615,615,1990
616,616,1990
617,617,1990
628,628,1990
634,634,1990
635,634,1990
636,785,1990
637,637,1990
639,637,1990
643,643,1990
644,644,1990
645,645,1990
646,653,1990
647,535,1990
649,649,1990
653,653,1990
654,653,1990
655,634,1990
656,645,1990
657,657,1990
658,658,1990
659,658,1990
666,666,1990
667,666,1990
668,668,1990
669,669,1990
674,669,1990
675,675,1990
676,645,1990
677,677,1990
678,678,1990
679,679,1990
683,785,1990
684,684,1990
686,686,1990
687,687,1990
688,688,1990
689,799,1990
693,779,1990
694,694,1990
695,695,1990
696,696,1990
699,699,1990
703,703,1990
704,703,1990
705,703,1990
706,706,1990
707,707,1990
708,708,1990
709,709,1990
713,713,1990
714,779,1990
715,779,1990
717,779,1990
719,719,1990
723,723,1990
724,724,1990
725,779,1990
726,733,1990
727,727,1990
728,729,1990
729,729,1990
733,733,1990
734,734,1990
735,734,1990
736,736,1990
737,734,1990
738,738,1990
739,739,1990
743,743,1990
744,744,1990
745,745,1990
747,747,1990
748,408,1990
749,749,1990
753,753,1990
754,754,1990
755,755,1990
756,756,1990
757,757,1990
758,755,1990
759,779,1990
763,763,1990
764,764,1990
765,765,1990
766,766,1990
768,769,1990
769,769,1990
773,467,1990
774,774,1990
777,779,1990
779,779,1990
783,783,1990
784,783,1990
785,785,1990
786,675,1990
787,675,1990
789,789,1990
793,675,1990
795,675,1990
796,799,1990
797,799,1990
798,779,1990
799,799,1990
803,803,1990
804,804,1990
806,804,1990
808,808,1990
809,809,1990
813,813,1990
814,809,1990
823,823,1990
824,824,1990
